company,model_name,colour,operating_system,Processor,processor_company,ram/storage,delivery,price_in_Euro
HP,"Pavilion 14-dv0511sa 14"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,8/256,yes,669
ACER,"Aspire 5 A517-52G 17.3"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-1165G7 Processor,Intel,16/256,yes,1129
SAMSUNG,"Galaxy Book Pro 360 15.6"" 2 in 1 Laptop ",mystic navy,Free Upgrade to Windows 11,Intel Evo platform,Intel,16/256,yes,1599
LENOVO,"IdeaPad 3i 14"" Chromebook ",grey,Chrome OS,Intel Celeron N4020 Processor,Intel,4/64,yes,299
HP,"17-cn0524na 17.3"" Laptop ",black,Free Upgrade to Windows 11,Intel Core i3-1125G4 Processor,Intel,8/256,yes,619
LENOVO,"IdeaPad Duet 10.1"" 2 in 1 Chromebook ",blue & grey,Chrome OS,MediaTek P60T Processor,MediaTek,4/128,yes,359
DELL,"XPS 13 9305 13.3"" Laptop ",silver,Free Upgrade to Windows 11,Intel Evo platform,Intel,8/256,yes,879
ACER,"Aspire 3 14"" Laptop ",silver,Free Upgrade to Windows 11,AMD Athlon Silver 3050U Processor,AMD,4/128,yes,359
LENOVO,"Yoga 6 13.3"" 2 in 1 Laptop ",abyss blue,Free Upgrade to Windows 11,AMD Ryzen 7 5700U Processor,AMD,8/256,yes,999
ACER,"Spin 311 11.6"" 2 in 1 Chromebook ",silver,Chrome OS,MediaTek MT8183 Processor,MediaTek,4/256,yes,299
ASUS,"Flip CM3200FM 12"" 2 in 1 Chromebook ",grey,Chrome OS,MediaTek Kompanio 8192 Processor,MediaTek,4/64,yes,419
LENOVO,"Yoga 6 13.3"" 2 in 1 Laptop ",abyss blue,Free Upgrade to Windows 11,AMD Ryzen 5 5500U Processor,AMD,8/256,yes,899
LENOVO,"IdeaPad Flex 5 14"" 2 in 1 Laptop ",grey,Free Upgrade to Windows 11,AMD Ryzen 5 5500U Processor,AMD,8/256,yes,719
ASUS,"E510MA 15.6"" Laptop ",black,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4/128,yes,319
APPLE,"MacBook Pro 13.3"" (2020) ",silver,macOS 11.0 Big Sur,Apple M1 chip,Apple,8/256,no,1649
MICROSOFT,"12.5"" Surface Laptop Go ",platinum,Free Upgrade to Windows 11,Intel Core i5-1035G1 Processor,Intel,4/64,yes,569
DELL,"XPS 15 9510 15.6"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i7-11800H Processor,Intel,16/1000,yes,1949
APPLE,"MacBook Air 13.3"" (2020) ",gold,macOS 11.0 Big Sur,Apple M1 chip,Apple,8/256,yes,1379
ACER,"Aspire 3 15.6"" Laptop ",silver,Free Upgrade to Windows 11,Intel Core i3-1115G4 Processor,Intel,4/128,yes,499
HP,"Stream 14s-dq0506sa 14"" Laptop ",white,Free Upgrade to Windows 11,Intel Celeron N4020 Processor,Intel,4/64,yes,299
HP,"ENVY x360 Convert 13.3"" 2 in 1 Laptop ",silver,Windows 11,Intel Core i7-1165G7 Processor,Intel,8/256,yes,1079
